pdf_procedure_id,raw_name,source_page,source_text_snippet
tosp_sa709b,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)",4,"SA709B BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)"
tosp_sa709s,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (>40 SQ CM)",7,"SA709S SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (>40 SQ CM)"
tosp_sa710b,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (SINGLE)",4,"SA710B BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (SINGLE)"
tosp_sa710s,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (20-40 SQ CM)",7,"SA710S SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (20-40 SQ CM)"
tosp_sa711b,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (MULTIPLE)",4,"SA711B BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (MULTIPLE)"
tosp_sa711s,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MAJOR RELEASE",7,"SA711S SOFT TISSUE (LOWER LIMB), CONTRACTURE, MAJOR RELEASE"
tosp_sa712b,"BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (SINGLE)",4,"SA712B BREAST, VARIOUS LESIONS, WIRE LOCALISATION, EXCISION (SINGLE)"
tosp_sa712s,"SOFT TISSUE (LOWER LIMB), CONTRACTURE, MINOR RELEASE",7,"SA712S SOFT TISSUE (LOWER LIMB), CONTRACTURE, MINOR RELEASE"
tosp_sa713b,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (UNILATERAL)",4,"SA713B BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (UNILATERAL)"
tosp_sa713s,"SOFT TISSUE (LOWER LIMB), OPEN WOUND/INFECTION, MAJOR DESLOUGHING",7,"SA713S SOFT TISSUE (LOWER LIMB), OPEN WOUND/INFECTION, MAJOR DESLOUGHING"
tosp_sa714s,"SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION BIOPSY UNDER GENERAL ANESTHESIA",7,"SA714S SOFT TISSUE (LOWER LIMB), SMALL TUMORS (BENIGN), EXCISION BIOPSY UNDER GENERAL ANESTHESIA"
tosp_sa715s,"SOFT TISSUE (LOWER LIMB), TUMOR/TUMOR-LIKE LESIONS, MARGINAL EXCISION",7,"SA715S SOFT TISSUE (LOWER LIMB), TUMOR/TUMOR-LIKE LESIONS, MARGINAL EXCISION"
tosp_sa716s,"SOFT TISSUE (LOWER LIMB), TUMORS (BENIGN), WIDE EXCISION BIOPSY",7,"SA716S SOFT TISSUE (LOWER LIMB), TUMORS (BENIGN), WIDE EXCISION BIOPSY"
tosp_sa717s,"SOFT TISSUE (LOWER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY",7,"SA717S SOFT TISSUE (LOWER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY"
tosp_sa718s,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MAJOR RELEASE",7,"SA718S SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MAJOR RELEASE"
tosp_sa719s,"SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MINOR RELEASE",7,"SA719S SOFT TISSUE (LOWER LIMB), VARIOUS LESIONS, MINOR RELEASE"
tosp_sa720s,"SOFT TISSUE (PALMAR SPACE), ABSCESS, DRAINAGE",7,"SA720S SOFT TISSUE (PALMAR SPACE), ABSCESS, DRAINAGE"
tosp_sa721s,"SOFT TISSUE (UPPER LIMB), TUMORS (BENIGN), MAJOR EXCISION BIOPSY",7,"SA721S SOFT TISSUE (UPPER LIMB), TUMORS (BENIGN), MAJOR EXCISION BIOPSY"
tosp_sa722s,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY",7,"SA722S SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), RADICAL EXCISION BIOPSY"
tosp_sa723s,"SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), WIDE EXCISION BIOPSY",7,"SA723S SOFT TISSUE (UPPER LIMB), TUMORS (MALIGNANT), WIDE EXCISION BIOPSY"
tosp_sa724s,"SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)",7,"SA724S SOFT TISSUE, TUMOR (MALIGNANT), MAJOR RESECTION AND RECONSTRUCTION (MICROSURGICAL)"
tosp_sa725s,"SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (BILATERAL)",7,"SA725S SWEAT GLAND, AXILLARY HYPERHIDROSIS, WEDGE EXCISION (BILATERAL)"
tosp_sa726s,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (</= 5 TISSUE BLOCKS)",7,"SA726S SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (</= 5 TISSUE BLOCKS)"
tosp_sa727s,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (> 5 TISSUE BLOCKS)",7,"SA727S SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITH RECONSTRUCTION/GRAFT/FLAP (> 5 TISSUE BLOCKS)"
tosp_sa728s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE UP TO AND INCLUDING 10MM IN DIAMETER",7,"SA728S SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE UP TO AND INCLUDING 10MM IN DIAMETER"
tosp_sa729s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 10MM AND INCLUDING 20MM",7,"SA729S SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 10MM AND INCLUDING 20MM"
tosp_sa730s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 20MM IN DIAMETER",7,"SA730S SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION/PUNCH/SHAVE BIOPSY, LESION SIZE MORE THAN 20MM IN DIAMETER"
tosp_sa731s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, REMOVAL OF 3 OR MORE RECURRENT OR COMPLICATED (ADHERENT), TOTAL TISSUE SIZE UP TO 20MM IN DIAMETER, EXCISION",7,"SA731S SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, REMOVAL OF 3 OR MORE RECURRENT OR COMPLICATED (ADHERENT), TOTAL TISSUE SIZE UP TO 20MM IN DIAMETER, EXCISION"
tosp_sa800b,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)",4,"SA800B BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (BILATERAL)"
tosp_sa800f,"FASCIA (DEEP), RUPTURE WITH HERNIATED MUSCLE, REPAIR",6,"SA800F FASCIA (DEEP), RUPTURE WITH HERNIATED MUSCLE, REPAIR"
tosp_sa800h,"HAND, BURNS (MAJOR), EXCISION AND SPLIT SKIN GRAFT",6,"SA800H HAND, BURNS (MAJOR), EXCISION AND SPLIT SKIN GRAFT"
tosp_sa800m,"MUCOUS MEMBRANE (EAR/NOSE/EYELID) AVULSION/COMPLEX LACERATION, FULL THICKNESS REPAIR",6,"SA800M MUCOUS MEMBRANE (EAR/NOSE/EYELID) AVULSION/COMPLEX LACERATION, FULL THICKNESS REPAIR"
tosp_sa800s,"SKIN AND MUCOUS MEMBRANE, VARIOUS LESIONS, EXCISION BIOPSY",8,"SA800S SKIN AND MUCOUS MEMBRANE, VARIOUS LESIONS, EXCISION BIOPSY"
tosp_sa800t,"TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY",12,"SA800T TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/SMALL BURSA, (<3CM) EXCISION BIOPSY"
tosp_sa801b,"BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (UNILATERAL)",4,"SA801B BREAST (NIPPLE), VARIOUS LESIONS, GRAFT AND/OR FLAP RECONSTRUCTION (UNILATERAL)"
tosp_sa801m,"MUCOUS MEMBRANE, DEEP LACERATION/MULTIPLE LACERATIONS, REPAIR",6,"SA801M MUCOUS MEMBRANE, DEEP LACERATION/MULTIPLE LACERATIONS, REPAIR"
tosp_sa801s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION AND RECONSTRUCTION AND LOCAL FLAP/SKIN GRAFT",8,"SA801S SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION AND RECONSTRUCTION AND LOCAL FLAP/SKIN GRAFT"
tosp_sa802b,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)",4,"SA802B BREAST, DIFFUSE HYPERTROPHY, REDUCTION MAMMOPLASTY >500G (BILATERAL)"
tosp_sa802m,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION EQUAL/LESS THAN 7CM, REPAIR",6,"SA802M MUCOUS MEMBRANE, SUPERFICIAL LACERATION EQUAL/LESS THAN 7CM, REPAIR"
tosp_sa802s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION WITH IMMEDIATE BLOCK DISSECTION",8,"SA802S SKIN AND SUBCUTANEOUS TISSUE, TUMOUR (MALIGNANT), WIDE EXCISION WITH IMMEDIATE BLOCK DISSECTION"
tosp_sa803b,"BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G (UNILATERAL)",4,"SA803B BREAST, DIFFUSE HYPERTROPHY, REDUCTION >250G (UNILATERAL)"
tosp_sa803m,"MUCOUS MEMBRANE, SUPERFICIAL LACERATION(S) MORE THAN 7 CM, REPAIR",6,"SA803M MUCOUS MEMBRANE, SUPERFICIAL LACERATION(S) MORE THAN 7 CM, REPAIR"
tosp_sa803s,"SKIN AND SUBCUTANEOUS TISSUE (EAR/NOSE/EYELID/FACE), COMPLEX LACERATIONS, REPAIR",8,"SA803S SKIN AND SUBCUTANEOUS TISSUE (EAR/NOSE/EYELID/FACE), COMPLEX LACERATIONS, REPAIR"
tosp_sa804b,"BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)",4,"SA804B BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)"
tosp_sa804m,"MUCOUS MEMBRANE, TUMOR/CYST/ULCER/SCAR, EXCISION",6,"SA804M MUCOUS MEMBRANE, TUMOR/CYST/ULCER/SCAR, EXCISION"
tosp_sa804s,"SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)",8,"SA804S SKIN & SUBCUTANEOUS, SCAR REVISION, FACE & NECK (< 3CM)"
tosp_sa805b,"BREAST, DROOPING, MASTOPEXY/REDUCTION (UNILATERAL)",4,"SA805B BREAST, DROOPING, MASTOPEXY/REDUCTION (UNILATERAL)"
tosp_sa805m,"MUSCLE AND DEEP TISSUE, FOREIGN BODY, REMOVAL",6,"SA805M MUSCLE AND DEEP TISSUE, FOREIGN BODY, REMOVAL"
tosp_sa805s,"SKIN AND SUBCUTANEOUS TISSUE (FACE AND NECK), SCAR OF MORE THAN 3CM, REVISION",8,"SA805S SKIN AND SUBCUTANEOUS TISSUE (FACE AND NECK), SCAR OF MORE THAN 3CM, REVISION"
tosp_sa806b,"BREAST, GYNECOMASTIA, REDUCTION (BILATERAL)",4,"SA806B BREAST, GYNECOMASTIA, REDUCTION (BILATERAL)"
tosp_sa806s,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (EXTENSIVE)",8,"SA806S SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (EXTENSIVE)"
tosp_sa807b,"BREAST, GYNECOMASTIA, REDUCTION (UNILATERAL)",4,"SA807B BREAST, GYNECOMASTIA, REDUCTION (UNILATERAL)"
tosp_sa807s,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (LIMITED)",8,"SA807S SKIN AND SUBCUTANEOUS TISSUE, BURNS, ESCHAROTOMY (LIMITED)"
tosp_sa808b,"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND BILATERAL)",4,"SA808B BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND BILATERAL)"
tosp_sa808s,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FLAP REPAIR",8,"SA808S SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FLAP REPAIR"
tosp_sa809b,"BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND UNILATERAL)",4,"SA809B BREAST, HYPOPLASIA, AUGMENTATION MAMMOPLASTY (PROSTHETIC AND UNILATERAL)"
tosp_sa809s,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FULL THICKNESS GRAFT",8,"SA809S SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FULL THICKNESS GRAFT"
tosp_sa810b,"BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)",4,"SA810B BREAST, INVERTED NIPPLES, SURGICAL EVERSION (BILATERAL)"
tosp_sa810s,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT",8,"SA810S SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND SMALL FULL THICKNESS GRAFT"
tosp_sa811b,"BREAST, INVERTED NIPPLE, SURGICAL EVERSION (UNILATERAL)",4,"SA811B BREAST, INVERTED NIPPLE, SURGICAL EVERSION (UNILATERAL)"
tosp_sa811s,"SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT WHICH ALSO INCLUDES MUSCLE, TENDON OR BONE (INCLUDES SUTURING OF WOUND WHEN PERFORMED)2",8,"SA811S SKIN AND SUBCUTANEOUS TISSUE, DEBRIDEMENT WHICH ALSO INCLUDES MUSCLE, TENDON OR BONE (INCLUDES SUTURING OF WOUND WHEN PERFORMED)2"
tosp_sa812b,"BREAST, LUMP (SINGLE), EXCISION BIOPSY",4,"SA812B BREAST, LUMP (SINGLE), EXCISION BIOPSY"
tosp_sa812f,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA",6,"SA812F FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA"
tosp_sa812s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DERMOFAT/FASCIA GRAFT (INCLUDING TRANSPLANT/MUSCLE FLAP)",8,"SA812S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DERMOFAT/FASCIA GRAFT (INCLUDING TRANSPLANT/MUSCLE FLAP)"
tosp_sa813b,"BREAST, LUMPS (MULTIPLE/BILATERAL), EXCISION BIOPSY",4,"SA813B BREAST, LUMPS (MULTIPLE/BILATERAL), EXCISION BIOPSY"
tosp_sa813f,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA",6,"SA813F FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA"
tosp_sa813s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP (CROSS ARM/RADIAL FORE ARM/ABDOMINAL/SIMILAR)",8,"SA813S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP (CROSS ARM/RADIAL FORE ARM/ABDOMINAL/SIMILAR)"
tosp_sa814b,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (BILATERAL)",5,"SA814B BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (BILATERAL)"
tosp_sa814f,"FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA",6,"SA814F FAT TRANSFER, CORRECTION OF CONTOURS/CONGENITAL DEFORMITIES, RECONSTRUCTION POST ABLATIVE SURGERY/TRAUMA"
tosp_sa814s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP REPAIR (CROSS LEG)",8,"SA814S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), DIRECT FLAP REPAIR (CROSS LEG)"
tosp_sa815b,"BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (UNILATERAL)",5,"SA815B BREAST, POST MASTECTOMY, IMPLANT/EXPANDER RECONSTRUCTION/REMOVAL OF IMPLANT, CAPSULECTOMY AND REPLACEMENT (UNILATERAL)"
tosp_sa815s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE FLAPS",8,"SA815S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE FLAPS"
tosp_sa816b,"BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (BILATERAL)",5,"SA816B BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (BILATERAL)"
tosp_sa816s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE GRAFT (SPLIT SKIN GRAFT - EXTENSIVE/INLAY GRAFT USING A MOULD)",8,"SA816S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), FREE GRAFT (SPLIT SKIN GRAFT - EXTENSIVE/INLAY GRAFT USING A MOULD)"
tosp_sa817b,"BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (UNILATERAL)",5,"SA817B BREAST, POST MASTECTOMY, LATISSMUS DORSI PEDICLED FLAP WITH OR WITHOUT IMPLANT RECONSTRUCTION (UNILATERAL)"
tosp_sa817s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), STAGED DISTANT FLAP (DIVISION)",8,"SA817S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (DEEP), STAGED DISTANT FLAP (DIVISION)"
tosp_sa818b,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (BILATERAL)",5,"SA818B BREAST, POST MASTECTOMY, RECONSTRUCTION USING PEDICLED TRANSVERSE RECTUS ABDOMINIS MUSCULOCUTANEOUS FLAP (BILATERAL)"
tosp_sa818s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), FREE FULL THICKNESS GRAFT",8,"SA818S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), FREE FULL THICKNESS GRAFT"
tosp_sa819b,"BREAST, POST MASTECTOMY, RECONSTRUCTION USING FREE FLAP (UNILATERAL)",5,"SA819B BREAST, POST MASTECTOMY, RECONSTRUCTION USING FREE FLAP (UNILATERAL)"
tosp_sa819s,"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), STAGED LOCAL FLAP (DIVISION)",8,"SA819S SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), STAGED LOCAL FLAP (DIVISION)"
tosp_sa820b,"BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (BILATERAL)",5,"SA820B BREAST, POST PROSTHETIC CONTRACTION, CAPSULOTOMY (BILATERAL)"
